locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBCMMFKD_00167	CDS	600				hypothetical protein
JBCMMFKD_00168	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
JBCMMFKD_00169	CDS	756	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
JBCMMFKD_00170	CDS	990	sbp		COG1613	Sulfate-binding protein
JBCMMFKD_00171	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
JBCMMFKD_00172	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
JBCMMFKD_00173	CDS	501	cpxP		COG3678	Periplasmic protein CpxP
JBCMMFKD_00174	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
JBCMMFKD_00175	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
JBCMMFKD_00176	CDS	675	yiiM		COG2258	Protein YiiM
JBCMMFKD_00177	CDS	984	kdgT			2-keto-3-deoxygluconate permease
JBCMMFKD_00178	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
JBCMMFKD_00179	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
JBCMMFKD_00180	CDS	939	rhaR_1			HTH-type transcriptional activator RhaR
JBCMMFKD_00181	CDS	837	rhaS_2			HTH-type transcriptional activator RhaS
JBCMMFKD_00182	CDS	1470	rhaB	2.7.1.5		Rhamnulokinase
JBCMMFKD_00183	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
JBCMMFKD_00184	CDS	825	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
JBCMMFKD_00185	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
JBCMMFKD_00186	CDS	1395				hypothetical protein
JBCMMFKD_00187	CDS	447	fruA_1		COG1299	PTS system fructose-specific EIIABC component
JBCMMFKD_00188	CDS	1452	manP_2		COG1299	PTS system mannose-specific EIIBCA component
JBCMMFKD_00189	CDS	1071	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
JBCMMFKD_00190	CDS	1749				hypothetical protein
JBCMMFKD_00191	CDS	1056				hypothetical protein
JBCMMFKD_00192	CDS	834	fdhD		COG1526	Sulfur carrier protein FdhD
JBCMMFKD_00193	CDS	588	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
JBCMMFKD_00194	CDS	2415	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
JBCMMFKD_00195	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
JBCMMFKD_00196	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
JBCMMFKD_00197	CDS	930	fdhE		COG3058	Protein FdhE
JBCMMFKD_00198	CDS	183				hypothetical protein
JBCMMFKD_00199	CDS	243				hypothetical protein
JBCMMFKD_00200	CDS	219				hypothetical protein
JBCMMFKD_00201	CDS	108				hypothetical protein
JBCMMFKD_00202	CDS	420				hypothetical protein
JBCMMFKD_00203	CDS	498				hypothetical protein
JBCMMFKD_00204	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
JBCMMFKD_00205	CDS	873				hypothetical protein
JBCMMFKD_00206	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
JBCMMFKD_00207	CDS	786	csqR		COG1349	HTH-type transcriptional repressor CsqR
JBCMMFKD_00208	CDS	897	yihV	2.7.1.184		Sulfofructose kinase
JBCMMFKD_00209	CDS	897	yihU	1.1.1.373	COG2084	3-sulfolactaldehyde reductase
JBCMMFKD_00210	CDS	879	yihT	4.1.2.57	COG3684	Sulfofructosephosphate aldolase
JBCMMFKD_00211	CDS	1242	yihS	5.3.1.31	COG2942	Sulfoquinovose isomerase
JBCMMFKD_00212	CDS	927	yihR		COG2017	putative protein YihR
JBCMMFKD_00213	CDS	1890	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
JBCMMFKD_00214	CDS	1386	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
JBCMMFKD_00215	CDS	1404	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
JBCMMFKD_00216	CDS	759	ompL			Porin OmpL
JBCMMFKD_00217	CDS	1266	yihN			Inner membrane protein YihN
JBCMMFKD_00218	CDS	981				hypothetical protein
JBCMMFKD_00219	CDS	711	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
JBCMMFKD_00220	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
JBCMMFKD_00221	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
JBCMMFKD_00222	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
JBCMMFKD_00223	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
JBCMMFKD_00224	CDS	111	yshB			putative protein YshB
JBCMMFKD_00225	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
JBCMMFKD_00226	CDS	510	yihI		COG3078	Der GTPase-activating protein YihI
JBCMMFKD_00227	CDS	633	engB		COG0218	putative GTP-binding protein EngB
JBCMMFKD_00228	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
JBCMMFKD_00229	CDS	186				hypothetical protein
JBCMMFKD_00230	CDS	933	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
JBCMMFKD_00231	CDS	1431	ydgA_1		COG5339	Protein YdgA
JBCMMFKD_00232	CDS	627	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
JBCMMFKD_00233	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
JBCMMFKD_00234	CDS	270	yihD		COG3084	Protein YihD
JBCMMFKD_00235	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
JBCMMFKD_00236	CDS	528	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
JBCMMFKD_00237	CDS	627	ydhY		COG0437	putative ferredoxin-like protein YdhY
JBCMMFKD_00238	CDS	2103	ydhV	1.-.-.-	COG2414	putative oxidoreductase YdhV
JBCMMFKD_00239	CDS	639	ydhW			putative protein YdhW
JBCMMFKD_00240	CDS	669	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
JBCMMFKD_00241	CDS	786	ydhU		COG4117	Putative cytochrome YdhU
JBCMMFKD_00242	CDS	765	ydhT			putative protein YdhT
JBCMMFKD_00243	CDS	1605				hypothetical protein
JBCMMFKD_00244	CDS	306	ydhR	1.-.-.-		Putative monooxygenase YdhR
JBCMMFKD_00245	tRNA	77				tRNA-Val(gac)
JBCMMFKD_00246	tRNA	77				tRNA-Val(gac)
JBCMMFKD_00247	CDS	1257				putative autotransporter
JBCMMFKD_00248	CDS	1374	mdtK		COG0534	Multidrug resistance protein MdtK
JBCMMFKD_00249	CDS	642	ribC	2.5.1.9	COG0307	Riboflavin synthase
JBCMMFKD_00250	CDS	1149	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
JBCMMFKD_00251	CDS	1212	ydhC			Inner membrane transport protein YdhC
JBCMMFKD_00252	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
JBCMMFKD_00253	CDS	1026	purR_1		COG1609	HTH-type transcriptional repressor PurR
JBCMMFKD_00254	CDS	90	ynhF			putative protein YnhF
JBCMMFKD_00255	CDS	1170	ydhP		COG2814	Inner membrane transport protein YdhP
JBCMMFKD_00256	CDS	582	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
JBCMMFKD_00257	CDS	816	mepH	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
JBCMMFKD_00258	CDS	348	grxD		COG0278	Glutaredoxin 4
JBCMMFKD_00259	CDS	4617	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
JBCMMFKD_00260	CDS	648	rnt	3.1.13.-	COG0847	Ribonuclease T
JBCMMFKD_00261	CDS	408	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
JBCMMFKD_00262	CDS	1098	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
JBCMMFKD_00263	CDS	600	nemR			HTH-type transcriptional repressor NemR
JBCMMFKD_00264	CDS	240				hypothetical protein
JBCMMFKD_00265	CDS	897	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
JBCMMFKD_00266	CDS	522	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
JBCMMFKD_00267	CDS	2013	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
JBCMMFKD_00268	CDS	858	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
JBCMMFKD_00269	CDS	237				hypothetical protein
JBCMMFKD_00270	CDS	435	slyA		COG1846	Transcriptional regulator SlyA
JBCMMFKD_00271	CDS	468	slyB		COG3133	Outer membrane lipoprotein SlyB
JBCMMFKD_00272	CDS	1110	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
JBCMMFKD_00273	CDS	324	mliC		COG3895	Membrane-bound lysozyme inhibitor of C-type lysozyme
JBCMMFKD_00274	CDS	657	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
JBCMMFKD_00275	CDS	1275	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
JBCMMFKD_00276	CDS	861	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
JBCMMFKD_00277	CDS	606	gstA	2.5.1.18	COG0625	Glutathione S-transferase GstA
JBCMMFKD_00278	CDS	1503	dtpA		COG3104	Dipeptide and tripeptide permease A
JBCMMFKD_00279	CDS	201				hypothetical protein
JBCMMFKD_00280	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
JBCMMFKD_00281	CDS	696	rsxE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
JBCMMFKD_00282	CDS	621	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
JBCMMFKD_00283	CDS	1059	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
JBCMMFKD_00284	CDS	2127	rsxC	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
JBCMMFKD_00285	CDS	579	rsxB	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
JBCMMFKD_00286	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
JBCMMFKD_00287	CDS	441	ydgK			Inner membrane protein YdgK
JBCMMFKD_00288	CDS	216	cnu			OriC-binding nucleoid-associated protein
JBCMMFKD_00289	CDS	1041	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
JBCMMFKD_00290	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
JBCMMFKD_00291	CDS	1173	malY		COG1168	Protein MalY
JBCMMFKD_00292	CDS	1593	malX		COG1263	PTS system maltose-specific EIICB component
JBCMMFKD_00293	CDS	1029	malI		COG1609	Maltose regulon regulatory protein MalI
JBCMMFKD_00294	CDS	768	hdhA	1.1.1.159		7-alpha-hydroxysteroid dehydrogenase
JBCMMFKD_00295	CDS	579				hypothetical protein
JBCMMFKD_00296	CDS	1812	uidA	3.2.1.31	COG3250	Beta-glucuronidase
JBCMMFKD_00297	CDS	1374	uidB		COG2211	Glucuronide carrier protein
JBCMMFKD_00298	CDS	1266	uidC			Membrane-associated protein UidC
JBCMMFKD_00299	CDS	96				hypothetical protein
JBCMMFKD_00300	CDS	1509	ydgA_2		COG5339	Protein YdgA
JBCMMFKD_00301	CDS	1176	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
JBCMMFKD_00302	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
JBCMMFKD_00303	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
JBCMMFKD_00304	CDS	930	tus			DNA replication terminus site-binding protein
JBCMMFKD_00305	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
JBCMMFKD_00306	CDS	720	rstA		COG0745	Transcriptional regulatory protein RstA
JBCMMFKD_00307	CDS	336	ydgC		COG3136	Inner membrane protein YdgC
JBCMMFKD_00308	CDS	723	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
JBCMMFKD_00309	CDS	1383	ydgI		COG0531	Putative arginine/ornithine antiporter
JBCMMFKD_00310	CDS	945	ydgH			Protein YdgH
JBCMMFKD_00311	CDS	1533	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
JBCMMFKD_00312	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
JBCMMFKD_00313	CDS	1035	tqsA		COG0628	AI-2 transport protein TqsA
JBCMMFKD_00314	CDS	366	mdtJ		COG2076	Spermidine export protein MdtJ
JBCMMFKD_00315	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
JBCMMFKD_00316	CDS	822				hypothetical protein
JBCMMFKD_00317	CDS	309	asr			Acid shock protein
JBCMMFKD_00318	CDS	1254	ynfM			Inner membrane transport protein YnfM
JBCMMFKD_00319	CDS	894	hcaR_1			Hca operon transcriptional activator HcaR
JBCMMFKD_00320	CDS	1221	mlc_1		COG1940	Protein mlc
JBCMMFKD_00321	CDS	696	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
JBCMMFKD_00322	CDS	1257	clcB		COG0038	Voltage-gated ClC-type chloride channel ClcB
